RBR XR-620  6.60 018573 (Windows: 6.13 - Minimum required: 6.13)
Host time     18/06/22 09:41:55
Logger time   18/06/22 09:42:03
Logging start 18/04/30 08:24:20
Logging end   18/06/15 15:00:00
Sample period          00:01:00
Number of channels =  3, number of samples =  66636, mode: Logging Complete
N03%9.4f
Calibration  1: -0.002382818000000
                154.906994200000010
                0.000000000000000
                0.000000000000000 mS/cm
Calibration  2: 0.003426915600263
                -0.000257234520228
                0.000002313140325
                -0.000000071195509 Degrees_C
Calibration  3: 8.129605369038000
                930.138389642962010
                20.635332533391001
                1.799385691527000 deciBars
Correction to conductivity: 1.4000000e-005 -2.0000000e-004 1.4900000e+001 7.0000000e-007
Memory type: 6 AT45DB642D_LP
Averaging: NONE
Logger start:Now 

     Cond      Temp      Pres  Salinity  DensAnom 
  32.1875   11.1389   10.2276   28.1396   21.4167 
  32.1744   11.1319   10.2286   28.1324   21.4123 
  32.1485   11.1234   10.2243   28.1138   21.3993 
  32.1646   11.1172   10.2231   28.1341   21.4161 
  32.1560   11.1046   10.2270   28.1354   21.4192 
  32.1510   11.0989   10.2274   28.1349   21.4198 
  32.1434   11.0900   10.2262   28.1344   21.4208 
  32.1274   11.0792   10.2276   28.1271   21.4170 
  32.1268   11.0716   10.2268   28.1324   21.4224 
  32.1121   11.0641   10.2229   28.1238   21.4170 
  32.1147   11.0572   10.2278   28.1317   21.4243 
  32.1037   11.0467   10.2229   28.1290   21.4239 
  32.0952   11.0380   10.2216   28.1274   21.4242 
  32.0866   11.0282   10.2264   28.1266   21.4251 
  32.0835   11.0191   10.2226   28.1305   21.4297 
  32.0747   11.0105   10.2213   28.1286   21.4297 
  32.0609   10.9900   10.2257   28.1309   21.4349 
  32.0589   10.9935   10.2228   28.1262   21.4306 
  32.0447   10.9847   10.2235   28.1192   21.4266 
  32.0427   10.9758   10.2345   28.1240   21.4319 
  32.0371   10.9657   10.2279   28.1263   21.4354 
  32.0114   10.9595   10.2259   28.1061   21.4207 
  32.0226   10.9481   10.2258   28.1257   21.4379 
  32.0164   10.9329   10.2287   28.1314   21.4448 
  32.0057   10.9304   10.2295   28.1229   21.4386 
  32.0034   10.9208   10.2281   28.1280   21.4441 
  31.9931   10.9119   10.2275   28.1248   21.4431 
  31.9900   10.9061   10.2260   28.1263   21.4452 
  31.9761   10.8932   10.2217   28.1226   21.4445 
  31.9691   10.8878   10.2229   28.1200   21.4434 
  31.9668   10.8775   10.2269   28.1255   21.4494 
  31.9434   10.8684   10.2241   28.1098   21.4387 
  31.9452   10.8598   10.2242   28.1181   21.4466 
  31.9462   10.8532   10.2235   28.1242   21.4524 
  31.9214   10.8435   10.2246   28.1075   21.4410 
  31.9338   10.8327   10.2210   28.1278   21.4585 
  31.9221   10.8247   10.2239   28.1226   21.4558 
  31.9191   10.8162   10.2261   28.1262   21.4600 
  31.8921   10.8072   10.2251   28.1067   21.4464 
  31.8940   10.7934   10.2244   28.1191   21.4583 
  31.8895   10.7898   10.2244   28.1175   21.4576 
  31.8911   10.7812   10.2257   28.1257   21.4655 
  31.8864   10.7710   10.2230   28.1289   21.4696 
  31.8637   10.7613   10.2254   28.1143   21.4598 
  31.8730   10.7570   10.2234   28.1266   21.4701 
  31.8611   10.7472   10.2248   28.1225   21.4686 
  31.8565   10.7369   10.2251   28.1260   21.4729 
  31.8443   10.7265   10.2200   28.1221   21.4716 
  31.8474   10.7232   10.2218   28.1276   21.4765 
  31.8355   10.7087   10.2165   28.1272   21.4784 
  31.8380   10.7019   10.2219   28.1348   21.4855 
  31.8288   10.6932   10.2248   28.1325   21.4851 
  31.8208   10.6837   10.2209   28.1320   21.4863 
  31.8062   10.6750   10.2249   28.1244   21.4818 
  31.8004   10.6638   10.2197   28.1273   21.4859 
  31.7991   10.6564   10.2218   28.1317   21.4905 
  31.7936   10.6482   10.2205   28.1327   21.4927 
  31.7766   10.6400   10.2240   28.1223   21.4859 
  31.7802   10.6326   10.2205   28.1315   21.4943 
  31.7834   10.6196   10.2214   28.1447   21.5067 
  31.7630   10.6130   10.2248   28.1298   21.4962 
  31.7665   10.6019   10.2182   28.1419   21.5073 
  31.7614   10.5959   10.2204   28.1414   21.5080 
  31.7531   10.5867   10.2208   28.1404   21.5086 
  31.7363   10.5789   10.2243   28.1299   21.5018 
  31.7394   10.5691   10.2225   28.1406   21.5116 
  31.7309   10.5634   10.2233   28.1366   21.5095 
  31.7262   10.5503   10.2233   28.1420   21.5158 
  31.7207   10.5426   10.2205   28.1426   21.5175 
